mirna_id	target_gene_id
hsa-miR-331-3p	10152
hsa-miR-148b-3p	11215
hsa-miR-148b-3p	79718
hsa-miR-148b-3p	127933
hsa-miR-148b-3p	26523
hsa-miR-148b-3p	4150
hsa-miR-148b-3p	10628
hsa-miR-148b-3p	6632
hsa-miR-151a-5p	23067
hsa-miR-151a-5p	118987
hsa-miR-151a-5p	6659
hsa-miR-340-5p	5869
hsa-miR-340-5p	10018
hsa-miR-340-5p	256356
hsa-miR-340-5p	84516
hsa-miR-340-5p	51427
hsa-miR-340-5p	1408
hsa-miR-340-5p	57532
hsa-miR-340-5p	6497
hsa-miR-340-5p	6310
hsa-miR-340-5p	29116
hsa-miR-340-5p	6659
hsa-miR-340-5p	26994
hsa-miR-340-5p	23731
hsa-miR-376a-3p	6566
hsa-miR-361-5p	27327
hsa-miR-361-5p	54813
hsa-miR-361-5p	55432
hsa-miR-130b-3p	118987
hsa-miR-130b-3p	84056
hsa-miR-130b-3p	140775
hsa-miR-130b-3p	5869
hsa-miR-130b-3p	11215
hsa-miR-130b-3p	147687
hsa-miR-130b-3p	138151
hsa-miR-130b-3p	51804
hsa-miR-130b-3p	7048
hsa-miR-130b-3p	1408
hsa-miR-130b-3p	90007
hsa-miR-130b-3p	54557
hsa-miR-130b-3p	9422
hsa-miR-130b-3p	165324
hsa-miR-130b-3p	55654
hsa-miR-130b-3p	7803
hsa-miR-130b-3p	84919
hsa-miR-130b-3p	6651
hsa-miR-130b-3p	4154
hsa-miR-130b-3p	26523
hsa-miR-130b-3p	23204
hsa-miR-130b-3p	3949
hsa-miR-130b-3p	59084
hsa-miR-130b-3p	8085
hsa-miR-130b-3p	84437
hsa-miR-130b-3p	54813
hsa-miR-130b-3p	9644
hsa-miR-130b-3p	25778
hsa-miR-130b-3p	7465
hsa-miR-130b-3p	9903
hsa-miR-130b-3p	9825
hsa-miR-130b-3p	283373
hsa-miR-130b-3p	1656
hsa-miR-34b-3p	1385
hsa-miR-29c-3p	54813
hsa-miR-29c-3p	126298
hsa-miR-29c-3p	7422
hsa-miR-29c-3p	3068
hsa-miR-106b-5p	26523
hsa-miR-106b-5p	84056
hsa-miR-106b-5p	11215
hsa-miR-106b-5p	23731
hsa-miR-106b-5p	6095
hsa-miR-155-5p	6510
hsa-miR-155-5p	23404
hsa-miR-155-5p	26130
hsa-miR-155-5p	6319
hsa-miR-155-5p	8574
hsa-miR-155-5p	11097
hsa-miR-155-5p	7798
hsa-miR-155-5p	7323
hsa-miR-155-5p	2247
hsa-miR-155-5p	22824
hsa-miR-155-5p	201626
hsa-miR-155-5p	5576
hsa-miR-155-5p	90007
hsa-miR-155-5p	7534
hsa-miR-155-5p	80218
hsa-miR-155-5p	7756
hsa-miR-155-5p	1678
hsa-miR-155-5p	221937
hsa-miR-155-5p	29766
hsa-miR-155-5p	7465
hsa-miR-155-5p	595
hsa-miR-155-5p	153339
hsa-miR-155-5p	1810
hsa-miR-155-5p	140707
hsa-miR-155-5p	10797
hsa-miR-155-5p	3842
hsa-miR-155-5p	6239
hsa-miR-186-5p	30000
hsa-miR-186-5p	10451
hsa-miR-186-5p	7798
hsa-miR-186-5p	84056
hsa-miR-186-5p	11215
hsa-miR-186-5p	22834
hsa-miR-186-5p	389677
hsa-miR-186-5p	25946
hsa-miR-186-5p	8085
